month,service_kind,hour,board_count,mean_temp,mean_precip,month_average_board_count,surrounding_board_count
8,weekday,16,2,0.0019557018004447,0.1180761749627779,1.7541213871166812,0.4245878969596732
1,weekday,14,1,0.0650473236850665,0.8588177978340139,-1.030831218489463,1.0466368256937668
4,weekday,9,2,-0.7354723367580236,-0.6684816890267896,-0.4907876918767339,-0.4671948885513716
7,weekday,10,4,-0.2464954789238792,-0.6311688593954998,0.9977425573783288,1.082966394765258
7,weekday,19,0,1.2015158893210516,2.2438362822343896,1.4331814310618354,1.3176254421306552
1,weekday,7,3,-1.251520577724854,-1.0253870159347782,-1.6327140513198393,0.0711937138674729
12,weekday,15,0,0.3080011273111412,0.6088813571514261,-0.885106175808695,0.5830820681345187
9,weekday,6,0,-1.5921688154778222,-1.3044220896992058,0.2567178900124197,-0.4921065283370185
2,weekday,8,1,-0.8067015305816143,-0.7076681573780829,-1.199466447043351,0.1370973636747074
3,weekday,8,3,-0.6802015961954561,-1.1454369895311018,-1.4392804562110026,-0.7666847849842968
11,weekend,16,1,-0.6525662259141722,-1.46340718986731,-0.3886406237395717,-0.3595209963365429
5,weekday,11,2,-0.0088246593619136,0.6828916624020952,0.689950293407035,0.0262640381512149
12,weekday,12,2,-0.6818272062120021,-1.1477750057100444,-1.126215389031918,0.2447527901217069
1,weekday,16,0,0.5808041354066864,0.6534903082614183,-0.9271097820597958,0.7605543130428136
11,weekend,15,1,-0.528207059648395,2.8291905146715006,-0.2829857859766446,-0.8431598058255563
5,weekday,11,3,-0.0088246593619136,0.6828916624020952,0.689950293407035,0.0262640381512149
8,weekday,13,0,0.1892496688080119,0.765441618258611,1.523345383897989,0.1090689660760953
12,weekend,11,0,-0.1551295608510634,-0.7479742391108416,-0.6947227594779788,-1.2463002565999957
2,weekday,11,0,0.2030248379943748,0.2250145739179553,-0.8968207350409639,0.0055224003821324
1,weekday,12,4,0.0637425717767044,-0.1756278785056669,-1.1366803995257622,1.445821727067188
4,weekend,15,1,1.0884621018067084,1.0406081377803296,0.2481041817640988,-0.7396385141312656
7,weekday,13,0,0.8803508439741835,0.7704956971886017,1.3780481990175375,1.8121557609324848
10,weekday,11,2,-0.398063746114442,0.6828916624020952,0.0780183553386278,0.0065270734615728
7,weekday,12,0,-0.2173091439839519,0.4593188652906989,1.2846783123192873,0.6660492831557171
7,weekday,8,0,-0.5972954853516046,-0.2710189386065292,0.6557917680052776,-0.1032914223756665
5,weekday,15,3,0.785674566550903,0.5429156502975688,1.113954718240606,0.742789520732199
11,weekday,10,6,-0.3342067602737826,-0.1756278785056669,-1.1088392067548791,-0.3215642091329127
6,weekday,20,4,1.4437740054232149,1.1428128450312534,0.7870551055217363,0.8930793037044769
11,weekday,10,2,-0.3342067602737826,-0.1756278785056669,-1.1088392067548791,-0.3215642091329127
2,weekend,11,2,-0.8183784476018751,-0.5094965888586855,-1.2718862225526977,-0.4781820204100277
10,weekend,9,1,-1.3030603263813143,-0.9681074547282164,-0.2920685358586158,-1.7856173160525262
4,weekday,8,2,-0.4630665439853689,-0.9523836536126896,-0.6898978077621851,-0.9639098387328084
4,weekday,15,0,1.05954136546583,0.1338384676355031,0.5861439375130055,0.4022062227158263
3,weekday,17,5,0.0836400383792286,-0.6048876489595478,-0.3686464550698981,0.5384196933092372
10,weekday,8,2,-1.0078781295306785,-0.7479742391108416,-0.3104072222240158,-1.050920891857152
4,weekday,14,3,-0.0058985613321306,1.1980033869467523,0.4923285453513129,0.1805077458754381
5,weekday,18,2,0.8780081281261624,-0.3077078078760918,1.1660170745893297,1.2884899228268982
6,weekday,10,4,-0.5856035979249076,-0.0187829623782871,0.6887726744923764,0.1931183779388275
4,weekend,5,0,-1.6474395560403898,-1.46340718986731,-0.6695345845494994,-3.868496993938162
6,weekday,12,1,-0.2598530692854021,0.2686936382799292,0.9400508261003768,1.5577021211936166
7,weekend,21,0,-1.150002890977281,-0.7479742391108416,1.0080496575376796,-2.003823758497688
3,weekday,13,4,1.2476418346269031,-0.4761097178233835,-0.6665280783730939,0.3859022037641823
6,weekday,12,0,-0.2598530692854021,0.2686936382799292,0.9400508261003768,1.5577021211936166
6,weekday,14,0,0.1798788054159282,1.1209118363346269,1.0769698128834244,0.9244373660896577
4,weekday,14,2,-0.0058985613321306,1.1980033869467523,0.4923285453513129,0.1805077458754381
3,weekend,19,2,1.6688048777136688,-1.224929539615154,-0.4930278864062001,-0.8874733346484569
4,weekday,21,7,3.4098332054345493,2.2329963890411104,0.004514680244751,1.3564728012023315
7,weekday,13,5,0.8803508439741835,0.7704956971886017,1.3780481990175375,1.8121557609324848
6,weekday,13,1,0.04384510517418,0.2059363618977829,1.0390890937837969,1.0644112925452731
9,weekday,13,4,-0.3847157139571137,0.0224920155499704,1.4955578080080263,0.0204961580592645
6,weekday,20,3,1.4437740054232149,1.1428128450312534,0.7870551055217363,0.8930793037044769
9,weekend,20,0,-1.6474395560403898,-1.46340718986731,1.0896615793069682,-1.9455527198901732
7,weekday,14,0,-0.6111131704922466,1.338705200595525,1.3463862785128573,0.8480294251171534
2,weekend,9,1,-1.150002890977281,-0.2710189386065292,-1.6086088253652089,-1.2059587683332549
